Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
15833,20190911,20220706,65,52.3366,10.4884,Harxbüttel (Pegel),Niedersachsen
15834,20190108,20220706,93,52.1014,10.1163,Holle (Kläranlage),Niedersachsen
15835,20190107,20220706,35,52.9247,9.4068,Kirchlinteln/Verden,Niedersachsen
15836,20190912,20220706,48,52.5394,10.3286,Müden-Flettmar (Kläranlage),Niedersachsen
15838,20190107,20220706,39,52.5023,8.0525,Neuenkirchen-Vörden (Kläranlage),Niedersachsen
15839,20190107,20220706,75,52.1356,9.762,Poppenburg (Pegel),Niedersachsen
15840,20190107,20220706,77,52.1887,10.3696,Salzgitter-Lebenstedt,Niedersachsen
15842,20190107,20220706,81,53.097,9.8502,Schneverdingen (Akademie),Niedersachsen
15843,20190107,20220706,144,51.863,10.0662,Seboldshausen,Niedersachsen
15844,20190912,20220706,28,52.5747,9.0288,Steyerberg (Kläranlage),Niedersachsen
15845,20190107,20220706,68,52.8981,10.4438,Suderburg (Hochschule),Niedersachsen
15850,20181024,20220706,416,49.5248,7.6431,Frankelbach,Rheinland-Pfalz
15851,20181024,20220706,483,50.7668,7.9735,Herdorf/Mahlscheid,Rheinland-Pfalz
15930,20180101,20220706,920,47.4921,11.1747,Garmisch-Partenkirchen (Kanker),Bayern
15958,20180308,20220706,287,50.3996,7.2651,Glees/Laacher See,Rheinland-Pfalz
15960,20220120,20220706,580,47.8352,11.4149,Eurasburg/Obb.-Beuerberg,Bayern
15986,20180618,20220706,345,50.5355,7.9192,Härtlingen,Rheinland-Pfalz
15987,20210101,20220706,691,50.2666,6.3782,Wascheid,Rheinland-Pfalz
15988,20181024,20220706,538,50.4244,7.73,Neuhäusel,Rheinland-Pfalz
15989,20181024,20220706,649,49.741,7.1936,Leisel,Rheinland-Pfalz
16112,20220302,20220306,23,53.8683,13.2686,Heydenhof,Mecklenburg-Vorpommern
19100,20190409,20220706,97,50.4563,7.4962,Neuwied-Torney,Rheinland-Pfalz
19126,20190911,20220706,88,52.1803,9.9535,Hildesheim Flugplatz,Niedersachsen
